Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Children and Family Services, Office of",25EN1406,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/14,Environ Prot & Impr,5000000,0,0
"Children and Family Services, Office of",25EN1506,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,Environ Pret & Impr,0,0,5000000
"Children and Family Services, Office of",25GM0503,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/05,General Maintenance,91000,0,0
"Children and Family Services, Office of",25GM0603,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/06,General Maintenance,200000,0,0
"Children and Family Services, Office of",25GM0703,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/07,General Maintenance,1500000,0,0
"Children and Family Services, Office of",25GM0803,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/08,General Maintenance,1500000,0,0
"Children and Family Services, Office of",25GM0903,Maintenance and Improvement of Facilities,Maintenance Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/09,General Maintenance,1500000,0,0
"Children and Family Services, Office of",25GM1003,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/10,General Maintenance,1725000,0,0
"Children and Family Services, Office of",25GM1103,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,General Maintenance,678000,139966,0
"Children and Family Services, Office of",25GM1203,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,General Maintenance,453000,81680,0
"Children and Family Services, Office of",25GM1303,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,General Maintenance,949000,12581,0
"Children and Family Services, Office of",25GM1403,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,General Maintenance,1583000,306824,0
"Children and Family Services, Office of",25GM1503,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,General Maintenance,0,0,1725000
"Children and Family Services, Office of",25GS0630,Design and Construction Supervision,Maintenance Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/06,D&C Fees Consultant,145000,98957,0
"Children and Family Services, Office of",25GS0730,Design and Construction Supervision,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/07,Consultant/OGS Design Construction Fees,74000,37939,0
"Children and Family Services, Office of",25GS0830,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/08,Consultant/OGS Design,64000,29979,0
"Children and Family Services, Office of",25GS0930,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/09,Consultant/OGS Design,3245000,224936,0
"Children and Family Services, Office of",25GS1130,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/11,Consultant/OGS Design,3937000,228581,0
"Children and Family Services, Office of",25GS1230,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/12,Consultant / OGS Design,3769000,73744,0
"Children and Family Services, Office of",25GS1330,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/13,Consultant / OGS Design,4028000,1544162,0
"Children and Family Services, Office of",25GS1430,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/14,Consultant ,7000000,0,0
"Children and Family Services, Office of",25GS1530,Design and Construction Supervision,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,Consultant/OGS Design,0,0,7000000
"Children and Family Services, Office of",25RA1508,Maintenance and Improvement of Facilities,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,RTA,0,0,110000000
"Children and Family Services, Office of",25ST1150,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/11,Admin,130000,0,0
"Children and Family Services, Office of",25ST1250,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/12,Admin,2000,0,0
"Children and Family Services, Office of",25ST1350,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/13,Admin,217000,77,0
"Children and Family Services, Office of",25ST1450,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/14,Admin,505000,0,0
"Children and Family Services, Office of",25ST1550,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,Admin,0,0,850000
"Children and Family Services, Office of",25T30203,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/02,Tonawanda Improvement,98000,0,0
"Children and Family Services, Office of",25T30303,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/03,Improve Tonawanda,553000,190540,0
"Children and Family Services, Office of",25T30403,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/04,Tonawanda Improvement,76000,13600,0
"Children and Family Services, Office of",25T30603,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/06,Tonawanda Improvement,201000,0,0
"Children and Family Services, Office of",25T30703,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/07,Tonawanda Improvement,325000,0,0
"Children and Family Services, Office of",25T30803,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/08,Tonawanda Improvement,325000,0,0
"Children and Family Services, Office of",25T30903,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/09,Tonawanda Improvement,325000,0,0
"Children and Family Services, Office of",25T31003,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/10,Tonawanda Improvement,7000,0,0
"Children and Family Services, Office of",25T31103,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Tonawanda Improvement,59000,0,0
"Children and Family Services, Office of",25T31203,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Tonawanda Improvement,100000,0,0
"Children and Family Services, Office of",25T31303,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Tonawanda Improvement,21000,17655,0
"Children and Family Services, Office of",25T31403,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Tonawanda Improvement ,80000,13999,0
"Children and Family Services, Office of",25T31503,Maintenance and Improvement of Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Tonawanda Improvement,0,0,100000
City University of New York,30010850,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0053/01/08,Senior - Critical Maintenance 08-09,132992000,0,0
City University of New York,30018701,General Maintenance and Improvements,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/87,Health & Safety,386000,0,0
City University of New York,30020350,General Maintenance and Improvements,Health and Safety,Capital Projects Fund,Capital Projects Fund,0053/01/03,hard dollar lump sum--community college,4303000,0,0
City University of New York,30020950,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0053/01/09,Senior-Critical Maintenance 09-10,198727000,0,0
City University of New York,30029301,General Maintenance and Improvements,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/93,Health And Safety-Cond. Surveys,853000,0,0
City University of New York,30030450,General Maintenance and Improvements,Health and Safety,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0055/04/04,bonded lump sum-senior colleges gen,141671000,0,0
City University of New York,30031050,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0053/01/10,Senior - Critical Maintenance 10-11,146318000,0,0
City University of New York,30031150,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0054/01/11,Senior - Critical Maintenance 11-12,262085000,0,0
"Education Department, State",11010801,Cultural Education Center,Health and Safety,Capital Projects Fund,Capital Projects Fund,0053/01/08,Emergency Exit Construction,65000,0,0
City University of New York,30031250,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0054/01/13,Senior - Critical Maintenance 12-13,283890000,0,0
City University of New York,30031450,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0054/01/14,Senior - Critical Maintenance 14-15,206000000,0,0
City University of New York,30031550,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0000/00/15,Senior - Critical Maintenance 15-16,0,0,103000000
City University of New York,30039403,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/94,Roof Projects,275000,0,0
City University of New York,30039703,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/97,Minor Repairs/Brooklyn-Reroof Bldg.,2241000,0,0
City University of New York,30041450,General Maintenance and Improvements,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0054/01/14,Strategic Initiatives,127000000,0,0
City University of New York,30048704,General Maintenance and Improvements,Facilities for the Physically Disabled,Capital Projects Fund,Capital Projects Fund,0054/01/87,Facilities For Physically Disabled,419000,0,0
City University of New York,30050350,General Maintenance and Improvements,Health and Safety,Capital Projects Fund,Cap Proj Fund - CUNY (Direct Auth Bonds),0053/01/03,bonded lump sum--comm. colleges,13646000,0,0
